name,article_quality,country,Population (millions),region,revision_id
André Gaspar Mendes de Carvalho,Stub,Angola,35.6,MIDDLE AFRICA,871672690
Carolina Cerqueira,C,Angola,35.6,MIDDLE AFRICA,1081277226
Arlete Chimbinda,Start,Angola,35.6,MIDDLE AFRICA,1101656146
Kafundanga Chingunji,Stub,Angola,35.6,MIDDLE AFRICA,1111470901
Jeremias Chitunda,Start,Angola,35.6,MIDDLE AFRICA,1076646666
Abel Chivukuvuku,Start,Angola,35.6,MIDDLE AFRICA,987997249
Adalberto Costa Júnior,Stub,Angola,35.6,MIDDLE AFRICA,1107102259
Adjany Costa,Start,Angola,35.6,MIDDLE AFRICA,1081302172
Álvaro Arnaldo Craveiro,Stub,Angola,35.6,MIDDLE AFRICA,1112653739
Raul Danda,Stub,Angola,35.6,MIDDLE AFRICA,1099408586
Carlos António Fernandes,Stub,Angola,35.6,MIDDLE AFRICA,1003396569
Fiel Domingos Constantino,Stub,Angola,35.6,MIDDLE AFRICA,1082902869
Abraão Gourgel,Stub,Angola,35.6,MIDDLE AFRICA,1080440646
Maria Monteiro Jardin,Stub,Angola,35.6,MIDDLE AFRICA,1095470855
José da Rocha,Stub,Angola,35.6,MIDDLE AFRICA,1094974511
Mateus de Brito Júnior,Stub,Angola,35.6,MIDDLE AFRICA,1054271575
Kambamba Kulaxingo,Stub,Angola,35.6,MIDDLE AFRICA,1093124425
Abel Xavier Nzuzi Lubota,Stub,Angola,35.6,MIDDLE AFRICA,1080325199
David Mendes,Stub,Angola,35.6,MIDDLE AFRICA,1024544204
Fernando Faustino Muteka,Stub,Angola,35.6,MIDDLE AFRICA,1079490106
José Ndele,Stub,Angola,35.6,MIDDLE AFRICA,1101583647
Daniel Ntongi-Nzinga,Stub,Angola,35.6,MIDDLE AFRICA,848334573
Pedro Tonho Pedale,Stub,Angola,35.6,MIDDLE AFRICA,1113903559
Elias Salupeto Pena,Stub,Angola,35.6,MIDDLE AFRICA,994023688
Pinda Simão,Stub,Angola,35.6,MIDDLE AFRICA,1115384278
Johnny Eduardo Pinnock,Stub,Angola,35.6,MIDDLE AFRICA,992923654
Santana André Pitra,Stub,Angola,35.6,MIDDLE AFRICA,886771177
José Aníbal Lopes Rocha,Stub,Angola,35.6,MIDDLE AFRICA,985054758
Luís Gomes Sambo,Start,Angola,35.6,MIDDLE AFRICA,1114131425
José Filomeno dos Santos,Start,Angola,35.6,MIDDLE AFRICA,1111269228
Jonas Savimbi,C,Angola,35.6,MIDDLE AFRICA,1110987217
Manuel Bernardo de Sousa,Stub,Angola,35.6,MIDDLE AFRICA,886461023
Augusto da Silva Tomás,Stub,Angola,35.6,MIDDLE AFRICA,1112407992
Luzia Inglês Van-Dúnem,Start,Angola,35.6,MIDDLE AFRICA,1067323463
Manuel Vicente,C,Angola,35.6,MIDDLE AFRICA,1106406859
Mfulupinga Nlando Victor,Start,Angola,35.6,MIDDLE AFRICA,994085067
Randolph Beazer,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1094157275
Studiation Brown,Stub,Antigua and Barbuda,0.1,CARIBBEAN,825090349
Colin O'Neil Browne,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1108425154
James Carlisle,C,Antigua and Barbuda,0.1,CARIBBEAN,1112658085
Gail Christian,Start,Antigua and Barbuda,0.1,CARIBBEAN,1082380535
Osbert Richard Frederick,Start,Antigua and Barbuda,0.1,CARIBBEAN,1082381271
William Haynes-Smith,C,Antigua and Barbuda,0.1,CARIBBEAN,1037116181
Tim Hector,C,Antigua and Barbuda,0.1,CARIBBEAN,1075044001
Cheryl Mary Clare Hurst,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1082380270
Wilfred Jacobs,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1110866224
Harold Lovell,Start,Antigua and Barbuda,0.1,CARIBBEAN,1106157497
John Lyons (Antiguan politician),C,Antigua and Barbuda,0.1,CARIBBEAN,1102523754
Edmond Mansoor,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1106044619
Joanne Massiah,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1095742971
Melford Walter Nicholas,Start,Antigua and Barbuda,0.1,CARIBBEAN,1113392435
Bernard Percival,Stub,Antigua and Barbuda,0.1,CARIBBEAN,1073473676
Alincia Williams-Grant,Start,Antigua and Barbuda,0.1,CARIBBEAN,1080767913
Joaquín Samuel de Anchorena,Start,Argentina,46.2,SOUTH AMERICA,1096421201
Juan Agustín Augier,Stub,Argentina,46.2,SOUTH AMERICA,989941326
Uladislao Augier,Stub,Argentina,46.2,SOUTH AMERICA,1083670137
Joaquín Belgrano,Start,Argentina,46.2,SOUTH AMERICA,1033486500
Antonio Bermejo,Start,Argentina,46.2,SOUTH AMERICA,1111012579
Antonio Beruti,Start,Argentina,46.2,SOUTH AMERICA,1072761348
Héctor Bidonde,Start,Argentina,46.2,SOUTH AMERICA,1091652004
Silvano Bores,Stub,Argentina,46.2,SOUTH AMERICA,1035890502
Pedro Braillard Poccard,Stub,Argentina,46.2,SOUTH AMERICA,1100848745
Exequiel Bustillo,Stub,Argentina,46.2,SOUTH AMERICA,1096179751
Mario Cafiero,Stub,Argentina,46.2,SOUTH AMERICA,1102185475
